T,U,Delta,kind,hilbert_mode,run,mu,mu_minus_U_over_2,ne_actual,dne,A_arith_0,A_typ_0,sigma,kappa,lorenz,L11,L12,L22,iterations,converged,diff,max_ImSigma_raw,max_ImSigma_thermal,n_causality_bad,n_causality_bad_thermal,status,error
0.02,2,0.5,typ,pv,target_ne,1.5,0.5,0.5047519129754661,0.004751912975466066,0.2955760086476931,0.2465155446597332,0.09208338834978587,0.005605988251830069,3.043973702691787,0.09208338834978587,0.000841706695820842,0.0001198135540520366,245,True,0.001982928853427577,-0.0003156129383368874,-0.01279718969247089,0,0,ok,
0.02,2,0.5,typ,pv,mu_U_over_2_diagnostic,1,0,0.4615846317294197,-0.03841536827058029,0.0004628591929634327,0.0004621013781966147,2.563327788892005e-07,1.843135930813285e-08,3.59520139952522,2.563327788892005e-07,-5.833106252965057e-13,3.686271874900381e-10,250,False,0.002142267712452415,-0.0003588640404745954,-0.03597466914655422,0,0,ok,
0.02,0,1,typ,pv,target_ne,0.05100768641844373,0.05100768641844373,0.4983631310078007,-0.001636868992199281,0.55429225146637,0.533854678535258,0.8687424860521673,0.05693373315268781,3.276789961741838,0.8687424860521673,-0.000132353209319697,0.001138694827109617,44,True,0.001996239449475482,0.08465533184419932,-0.1686109344306325,4,0,ok,
0.02,0,1,typ,pv,mu_U_over_2_diagnostic,0,0,0.4771780908103989,-0.02282190918960109,0.5544751625407759,0.5345213528425573,0.8717252174692292,0.05712695087352661,3.276660450375414,0.8717252174692292,-8.673617379884035e-19,0.001142539017470532,76,True,0.001964435510282359,0.08459060599333273,-0.1703215122535137,4,0,ok,
0.02,0.5,1,typ,pv,target_ne,0.2760774641432179,0.02607746414321788,0.5013034092566163,0.001303409256616317,0.5182213816687758,0.5142029683497519,0.7005899519102341,0.0458740382468914,3.273957763868215,0.7005899519102341,-5.762919923733064e-05,0.000917485505406337,15,True,0.001904755127327235,0.05072596257431583,-0.2106615619465693,4,0,ok,
0.02,0.5,1,typ,pv,mu_U_over_2_diagnostic,0.25,0,0.4824264673383216,-0.01757353266167838,0.5183008555558919,0.5143416805096176,0.7011896534086197,0.04591473239053187,3.274059462181979,0.7011896534086197,2.408468440757289e-06,0.0009182946560833212,80,True,0.001995058886887946,0.05038920555674836,-0.2110387301470904,4,0,ok,
0.02,1,1,typ,pv,target_ne,0.5135532494327882,0.01355324943278824,0.5005969796435277,0.0005969796435276731,0.4043996222474291,0.392968852541387,0.2565780623733254,0.01687902252336767,3.289256760152863,0.2565780623733254,-3.89494195935855e-07,0.0003375804510586188,12,True,0.001952234160958848,-0.0004599587013645913,-0.4885903372218314,0,0,ok,
0.02,1,1,typ,pv,mu_U_over_2_diagnostic,0.5,0,0.4912822543962914,-0.008717745603708638,0.4044032436781575,0.392971580863024,0.256580380849584,0.01687924339721321,3.289270080066721,0.256580380849584,1.083643182894778e-07,0.0003375848679900309,89,True,0.001829066843889029,-0.0004638170921957246,-0.4900357915248493,0,0,ok,
0.02,1.5,1,typ,pv,target_ne,0.9336956493847514,0.1836956493847514,0.4953627028798288,-0.004637297120171191,0.2928015453319619,0.1826004181870358,0.04400664193154273,0.002627750885737206,2.985629862220534,0.04400664193154273,0.0004597343115291189,5.735782992490868e-05,86,True,0.001996549952101389,-0.0009320299048387857,-0.1789789497192817,0,0,ok,
0.02,1.5,1,typ,pv,mu_U_over_2_diagnostic,0.75,0,0.4920519872084467,-0.007948012791553272,0.003652355316647153,0.003266733977840969,0.0004208075873842372,0.0002762141108878845,32.81952597443007,0.0004208075873842372,1.994493247878863e-07,5.524376750352518e-06,236,True,0.001966500386771337,-0.0009381741148822638,-0.2136271638404967,0,0,ok,
